 CGCG031-077,08h18m13.2s,+04d45m59s
ESO534-G24,22h45m14.7s,-22d43m51s
ESO555-G029 ,6h04m27.4601s,-20d21m13.5s
ESO563-G035,8h57m06.4212s,-20d01m57.4248s
ESO576-17,13h15m12.80s,-17d58m00.4s
FGC1965 ,15h54m15.31s,+10d58m10.0s
GALEXASC J072024.60+325058.8,7h20m24.6012s,32d50m58.884s
GALEXASC J215327.92-342420.8,21h53m27.9689s,-34d24m21.6036s
GALEXASCJ000802.78-363348.1,00h08m02.8s,-36d33m49s
GALEXASCJ001127.51-062549.8,00h11m27.3s,-06d25m50s
GALEXASCJ002132.53-055728.4,0h21m32.5044s,-5d57m29.412s
GALEXASCJ010647.95-465904.1,01h06m47.9s,-46d59m04s
GALEXASCJ021558.44+121415.2,02h15m58.4s,12d14m15s
GALEXASCJ032107.24-311845.8,03h21m07.4s,-31d18m46s
GALEXASCJ104848.62-201544.1,10h48m48.6278s,-20d15m44.1288s
GALEXASCJ125413.02-073849.5,12h54m13.1s,-07d38m50s
GALEXASCJ134316.80-313318.2,13h43m16.8s,-31d33m18s
HIPASSJ1919-33,19h19m22.4s,-33d51m09s
IC 2151,5h52m36.4301s,-17d47m14.2008s
IC0607,10h24m08.58s,16d44m30.8004s
IC1320  ,20h26m25.66s,+02d54m35.0s
IC1342,21h00m25.44s,-14d29m45.1s
IC1776,02h05m15.2s,+06d06m25s
IC208,2h08m27.7399s,6d23m41.7012s
IC2150,5h51m18.5599s,-38d19m13.6992s
IC2150,5h51m18.5599s,-38d19m13.6992s
IC2151  ,05h52m36.43s,-17d47m14.2s
IC2367,08h24m10.1s,-18d46m32s
IC2532,10h00m05.40s,-34d13m41.8s
IC2597,10h37m47.4s,-27d04m54s
IC2597  ,10h37m47.45s,-27d04m54.1s
IC2973  ,11h53m50.76s,+33d21m55.8s
IC4296,13h36m39.03s,-33d57m56.9988s
IC4329,13h49m05.31s,-30d17m45.1s
IC438,5h53m00.0799s,-17d52m33.8988s
IC511,8h40m50.4499s,73d29m12.0012s
IC5249  ,22h47m06.28s,-64d49m55.3s
IC5267,22h57m13.57s,-43d23m46.1s
IC527,09h09m41.78s,+37d36m05.7s
IC5325,23h28m43.43s,-41d20m00.5s
IC577   ,09h56m03.97s,+10d29m55.9s
IC803,12h39m37.01s,+16d35m16.9s
KUG0136+335,01h39m31.1s,33d49m28s
KUG0647+311,6h50m36.9252s,31d07m00.6168s
KUG0925+693,09h30m14.2s,69d07m07s
KUG1232+315,12h35m05.778s,+31d14m23.76s
KUG1237+183,12h40m11.39s,+18d03m42.2s
LCRSB014209.4-420839,01h44m17.0s,-41d53m36s
M101    ,14h03m12.54s,+54d20m56.2s
M106/NGC4258,12h18m57.50s,+47d18m14.3s
M51     ,13h29m56.20s,+47d13m50.0s
M61,12h21m54.90s,+04d28m25.1s
M61,12h21m54.9s,+04d28m25s
M65,11h18m55.92s,+13d05m32.5s
M66,11h20m14.9642s,12d59m29.5368s
M66  ,11h20m14.96s,+12d59m29.5s
M74,01h36m41.75s,+15d47m01.2s
M81,09h55m33.2s,+69d03m55s
M82,09h55m52.73s,+69d40m45.8s
M99,12h18m49.60s,+14d24m59.4s
Mark1309,11h57m44.68s,-10d10m22.9s
MCG-01-07-004,02h23m13.2s,-04d31m02s
MCG-01-10-39,03h49m05.47s,-03d03m37.9s
MCG-01-32-001,12h19m51.1699s,-6d51m22.3992s
MCG-01-39-005,15h23m20.13s,-4d09m05.7996s
MCG-01-53-007,20h45m39.77s,-05d35m24.0s
MCG-02-24-027 ,09h28m58.94s,-14d48m27.2s
MCG-02-30-003,11h33m10.5701s,-10d13m43.8996s
MCG-02-33-20 ,12h50m29.41s,-10d51m15.9s
MCG-1-39-3 ,15h21m33.29s,-07d26m52.4s
MCG-1-60-21 ,23h41m47.29s,-03d40m02.0s
MCG+0-27-5 ,10h23m56.49s,-03d10m55.6s
MCG+03-06-031,2h04m36.4999s,21d35m30.4008s
MCG+05-43-16 ,18h23m04.13s,+29d54m05.0s
MCG+05-43-16 ,18h23m04.13s,+29d54m05.0s
MCG+08-20-89,11h07m19.67s,+46d22m59.9s
MCG+10-19-1,12h54m49.79s,+58d52m56.4s
MCG+11-12-23,09h45m03.16s,+64d15m27.0s
MRK0887,16h40m28.0s,+39d19m13s
MRK685,14h31m08.8853s,27d14m12.282s
nearNGC2442,07h36m23.8s,-69d31m51s
NGC1015 ,02h38m11.56s,-01d19m07.3s
NGC1067,2h43m50.52s,32d30m42.8004s
NGC1103,02h48m06.00s,-13d57m33.2s
NGC1171,03h03m59.0s,43d23m54s
NGC1187 ,03h02m37.59s,-22d52m01.8s
NGC1233,3h12m33.1099s,39d19m08.1012s
NGC1260 ,03h17m27.24s,+41d24m18.8s
NGC1272,3h19m21.2899s,41d29m26.3004s
NGC1275 ,03h19m48.16s,+41d30m42.1s
NGC1278,03h19m54.1s,41d33m48s
NGC1285,03h17m53.43s,-07d17m52.1s
NGC1309 ,03h22m06.56s,-15d24m00.2s
NGC1316 ,03h22m41.72s,-37d12m29.6s
NGC1316 ,03h22m41.72s,-37d12m29.6s
NGC134,00h30m21.97s,-33d14m38.5s
NGC1343,3h37m49.6999s,72d34m16.7988s
NGC1365 ,03h33m36.37s,-36d08m25.4s
NGC1371 ,03h35m01.34s,-24d55m59.6s
NGC1404 ,03h38m51.92s,-35d35m39.8s
NGC1404 ,03h38m51.92s,-35d35m39.8s
NGC1418,03h42m16.16s,-04d43m50.7s
NGC1448,03h44m31.92s,-44d38m41.4s
NGC151  ,00h34m02.79s,-09d42m19.2s
NGC1527 ,04h08m24.14s,-47d53m49.3s
NGC1532,4h12m04.3301s,-32d52m27.1992s
NGC1532,4h12m04.3301s,-32d52m27.1992s
NGC1559 ,04h17m35.77s,-62d47m01.2s
NGC1566,04h20m00.42s,-54d56m16.1s
NGC1566 ,04h20m00.42s,-54d56m16.1s
NGC1573A,04h48m26.87s,+73d28m08.8s
NGC1578,04h23m46.65s,-51d35m58.0s
NGC1633 ,04h40m09.11s,+07d20m58.0s
NGC1672,4h45m42.4999s,-59d14m49.8516s
NGC1729,05h00m15.69s,-03d21m09.0s
NGC1762,05h03m37.03s,+01d34m24.0s
NGC1832,05h12m03.33s,-15d41m16.1s
NGC191A ,00h39m00.24s,-09d00m52.5s
NGC1954,05h32m48.33s,-14d03m46.0s
NGC1954 ,05h32m48.33s,-14d03m46.0s
NGC1954 ,05h32m48.33s,-14d03m46.0s
NGC2076,5h46m47.46s,-16d46m57.3996s
NGC2101,5h46m24.1699s,-52d05m18.7008s
NGC2196,06h12m09.65s,-21d48m21.4s
NGC2207,06h16m22.03s,-21d22m21.6s
