NGC1365
NGC3982
NGC4038
UGC9391
NGC0584
NGC0628
NGC1097
HoII
NGC2915
NGC3034
NGC3184
NGC3198
IC2574
NGC3521
NGC3627
NGC4125
NGC134
NGC147
NGC185
M31
NGC628
NGC1313
NGC1448
NGC3556
NGC3718
NGC4569
NGC4594
NGC4631
NGC4736
NGC5055
M51
M83
NGC6822
NGC7793
