IC208,,,,
Arcminute,North,East,South,West
4,0.355,0.336,0.33,0.353
5,0.353,0.329,0.321,0.348
6,0.345,0.329,0.321,0.355
7,0.345,0.326,0.318,0.352
8,0.343,0.324,0.311,0.357
9,0.341,0.322,0.311,0.357
10,0.341,0.317,0.309,0.354
11,0.343,0.311,0.299,0.353
12,0.344,0.311,0.299,0.347
13,0.344,0.308,0.288,0.347
14,0.344,0.302,0.283,0.347
15,0.344,0.302,0.283,0.346
16,0.344,0.299,0.274,0.347
17,0.336,0.299,0.269,0.345
18,0.33,0.299,0.269,0.345
19,0.33,0.298,0.259,0.344
20,0.327,0.298,0.257,0.341
,,,,
NGC88,,,,
Arcminute,North,East,South,West
0,0.052,0.052,0.052,0.052
1,0.052,0.052,0.052,0.053
2,0.052,0.051,0.052,0.053
3,0.052,0.051,0.051,0.053
4,0.052,0.051,0.051,0.053
5,0.052,0.051,0.051,0.053
6,0.052,0.05,0.051,0.053
7,0.052,0.05,0.051,0.052
8,0.052,0.05,0.051,0.052
9,0.051,0.05,0.05,0.051
10,0.051,0.049,0.049,0.05
11,0.051,0.049,0.049,0.048
12,0.05,0.049,0.049,0.048
13,0.049,0.049,0.048,0.047
14,0.049,0.048,0.048,0.046
15,0.048,0.047,0.048,0.045
16,0.047,0.047,0.048,0.045
17,0.047,0.047,0.048,0.044
18,0.045,0.046,0.048,0.044
19,0.044,0.046,0.047,0.043
20,0.044,0.045,0.047,0.043
,,,,
KUG0925+693,,,,
Arcminute,North,East,South,West
0,0.402,0.402,0.402,0.402
1,0.402,0.402,0.4,0.382
2,0.404,0.402,0.385,0.374
3,0.406,0.39,0.385,0.362
4,0.406,0.39,0.372,0.373
5,0.413,0.384,0.333,0.404
6,0.413,0.364,0.334,0.399
7,0.417,0.368,0.309,0.429
8,0.417,0.356,0.296,0.434
9,0.425,0.345,0.296,0.408
10,0.428,0.345,0.282,0.392
11,0.428,0.336,0.269,0.369
12,0.428,0.334,0.269,0.353
13,0.414,0.334,0.262,0.355
14,0.423,0.345,0.236,0.346
15,0.423,0.334,0.236,0.323
16,0.47,0.334,0.219,0.324
17,0.482,0.329,0.212,0.33
18,0.482,0.329,0.212,0.326
19,0.495,0.318,0.196,0.332
20,0.503,0.313,0.187,0.338
,,,,
NGC7653,,,,
Arcminute,North,East,South,West
0,0.179,0.179,0.179,0.179
1,0.179,0.179,0.178,0.179
2,0.179,0.179,0.177,0.179
3,0.178,0.179,0.174,0.181
4,0.172,0.18,0.174,0.185
5,0.172,0.18,0.172,0.185
6,0.166,0.181,0.17,0.188
7,0.155,0.182,0.17,0.196
8,0.155,0.182,0.172,0.2
9,0.148,0.183,0.173,0.2
10,0.135,0.184,0.173,0.203
11,0.135,0.184,0.177,0.205
12,0.122,0.188,0.175,0.205
13,0.115,0.189,0.175,0.204
14,0.115,0.189,0.173,0.204
15,0.104,0.193,0.159,0.204
16,0.099,0.192,0.158,0.193
17,0.094,0.192,0.158,0.184
18,0.094,0.19,0.141,0.178
19,0.09,0.187,0.139,0.178
20,0.088,0.186,0.139,0.167
,,,,
NGC383,,,,
Arcminute,North,East,South,West
0,0.193,0.193,0.193,0.193
1,0.193,0.193,0.186,0.191
2,0.195,0.19,0.184,0.182
3,0.199,0.183,0.184,0.171
4,0.199,0.183,0.177,0.171
5,0.2,0.174,0.172,0.165
6,0.199,0.166,0.172,0.162
7,0.199,0.166,0.167,0.161
8,0.199,0.163,0.165,0.161
9,0.186,0.161,0.165,0.161
10,0.186,0.161,0.163,0.161
11,0.184,0.162,0.162,0.162
12,0.171,0.163,0.162,0.162
13,0.171,0.163,0.162,0.163
14,0.166,0.164,0.163,0.163
15,0.159,0.169,0.163,0.165
16,0.159,0.172,0.164,0.166
17,0.153,0.172,0.163,0.168
18,0.151,0.174,0.163,0.17
19,0.151,0.178,0.162,0.17
20,0.149,0.178,0.16,0.171
,,,,
UGC5460,,,,
Arcminute,North,East,South,West
0,0.029,0.029,0.029,0.029
1,0.027,0.027,0.025,0.028
2,0.027,0.027,0.025,0.027
3,0.026,0.023,0.023,0.025
4,0.021,0.02,0.02,0.024
5,0.021,0.02,0.02,0.024
6,0.019,0.018,0.018,0.026
7,0.017,0.017,0.017,0.026
8,0.017,0.017,0.017,0.028
9,0.016,0.017,0.017,0.029
10,0.016,0.017,0.017,0.029
11,0.016,0.017,0.017,0.029
12,0.017,0.017,0.018,0.028
13,0.018,0.017,0.019,0.027
14,0.018,0.017,0.019,0.027
15,0.018,0.017,0.02,0.027
16,0.018,0.018,0.02,0.028
17,0.018,0.018,0.02,0.028
18,0.017,0.02,0.02,0.029
19,0.017,0.021,0.019,0.029
20,0.017,0.021,0.019,0.029
,,,,
UGC402,,,,
Arcminute,North,East,South,West
0,0.069,0.069,0.069,0.069
1,0.07,0.069,0.068,0.068
2,0.07,0.069,0.068,0.068
3,0.07,0.069,0.067,0.068
4,0.071,0.069,0.067,0.067
5,0.071,0.069,0.067,0.066
6,0.072,0.069,0.067,0.066
7,0.071,0.069,0.067,0.066
8,0.071,0.07,0.067,0.064
9,0.07,0.07,0.067,0.064
10,0.069,0.07,0.066,0.063
11,0.069,0.07,0.065,0.061
12,0.068,0.07,0.065,0.061
13,0.068,0.07,0.065,0.06
14,0.068,0.069,0.063,0.058
15,0.068,0.069,0.063,0.058
16,0.068,0.069,0.062,0.057
17,0.068,0.067,0.061,0.056
18,0.068,0.065,0.061,0.056
19,0.069,0.065,0.06,0.055
20,0.069,0.063,0.06,0.054
,,,,
PGC071943,,,,
Arcminute,North,East,South,West
0,0.043,0.043,0.043,0.043
1,0.044,0.042,0.041,0.043
2,0.044,0.042,0.041,0.036
3,0.043,0.04,0.036,0.034
4,0.042,0.036,0.033,0.028
5,0.042,0.036,0.033,0.026
6,0.038,0.034,0.031,0.024
7,0.036,0.033,0.031,0.024
8,0.036,0.033,0.031,0.025
9,0.034,0.034,0.031,0.027
10,0.033,0.035,0.032,0.027
11,0.033,0.035,0.032,0.027
12,0.034,0.038,0.032,0.027
13,0.034,0.038,0.033,0.028
14,0.034,0.038,0.033,0.029
15,0.036,0.039,0.033,0.03
16,0.038,0.038,0.035,0.03
17,0.038,0.038,0.035,0.031
18,0.039,0.038,0.036,0.031
19,0.04,0.037,0.038,0.03
20,0.04,0.037,0.038,0.03
,,,,
MCG-01-07-004,,,,
Arcminute,North,East,South,West
0,0.08,0.08,0.08,0.08
1,0.08,0.08,0.078,0.08
2,0.08,0.079,0.078,0.079
3,0.078,0.079,0.074,0.075
4,0.077,0.076,0.072,0.075
5,0.077,0.073,0.072,0.074
6,0.075,0.073,0.07,0.07
7,0.074,0.072,0.068,0.07
8,0.074,0.071,0.068,0.069
9,0.074,0.071,0.068,0.068
10,0.075,0.072,0.067,0.068
11,0.075,0.073,0.067,0.067
12,0.075,0.073,0.067,0.067
13,0.074,0.072,0.067,0.067
14,0.074,0.07,0.067,0.067
15,0.073,0.07,0.068,0.067
16,0.072,0.067,0.069,0.067
17,0.072,0.065,0.069,0.067
18,0.068,0.065,0.07,0.067
19,0.068,0.065,0.071,0.067
20,0.068,0.064,0.071,0.067
,,,,
MRK0887,,,,
Arcminute,North,East,South,West
0,0.036,0.036,0.036,0.036
1,0.032,0.033,0.039,0.035
2,0.032,0.033,0.039,0.034
3,0.031,0.034,0.042,0.032
4,0.031,0.036,0.045,0.032
5,0.031,0.036,0.045,0.03
6,0.031,0.037,0.045,0.029
7,0.031,0.039,0.045,0.028
8,0.031,0.039,0.045,0.028
9,0.033,0.039,0.04,0.028
10,0.033,0.038,0.039,0.029
11,0.033,0.038,0.039,0.029
12,0.032,0.037,0.038,0.029
13,0.032,0.035,0.037,0.029
14,0.032,0.035,0.037,0.028
15,0.032,0.033,0.036,0.027
16,0.031,0.03,0.035,0.026
17,0.031,0.03,0.035,0.026
18,0.03,0.03,0.035,0.025
19,0.029,0.029,0.035,0.025
20,0.029,0.029,0.035,0.026
,,,,
UGC11797,,,,
Arcminute,North,East,South,West
0,1.434,1.434,1.434,1.434
1,1.391,1.434,1.425,1.423
2,1.391,1.393,1.425,1.381
3,1.304,1.377,1.411,1.367
4,1.238,1.377,1.382,1.374
5,1.238,1.337,1.382,1.382
6,1.225,1.288,1.308,1.401
7,1.188,1.288,1.262,1.415
8,1.188,1.253,1.262,1.446
9,1.172,1.228,1.256,1.489
10,1.159,1.228,1.216,1.516
11,1.159,1.226,1.194,1.516
12,1.107,1.223,1.194,1.571
13,1.093,1.223,1.183,1.68
14,1.093,1.205,1.174,1.758
15,1.068,1.18,1.174,1.807
16,1.002,1.18,1.156,1.943
17,1.002,1.099,1.145,1.981
18,0.982,1.079,1.145,1.977
