Arcminute,North,East,South,West
0.0,0.111,0.111,0.111,0.111
1.0,0.11,0.112,0.111,0.111
2.0,0.11,0.113,0.111,0.111
3.0,0.11,0.113,0.113,0.11
4.0,0.11,0.114,0.113,0.11
5.0,0.11,0.116,0.113,0.111
6.0,0.109,0.116,0.115,0.112
7.0,0.11,0.119,0.116,0.112
8.0,0.11,0.121,0.116,0.113
9.0,0.11,0.121,0.118,0.115
10.0,0.11,0.124,0.118,0.115
11.0,0.11,0.127,0.118,0.116
12.0,0.111,0.127,0.121,0.119
13.0,0.111,0.13,0.122,0.119
14.0,0.111,0.133,0.122,0.12
15.0,0.113,0.133,0.124,0.123
16.0,0.113,0.136,0.125,0.123
17.0,0.113,0.14,0.125,0.126
18.0,0.114,0.14,0.127,0.128
19.0,0.115,0.142,0.128,0.128
20.0,0.115,0.145,0.128,0.131
21.0,0.116,0.145,0.13,0.133
22.0,0.117,0.148,0.131,0.133
23.0,0.117,0.151,0.131,0.136
24.0,0.118,0.151,0.133,0.138
25.0,0.119,0.153,0.134,0.138
26.0,0.119,0.155,0.134,0.139
27.0,0.121,0.155,0.136,0.141
28.0,0.122,0.157,0.137,0.141
29.0,0.122,0.158,0.137,0.141
30.0,0.124,0.158,0.143,0.141
31.0,0.124,0.159,0.146,0.141
32.0,0.124,0.16,0.146,0.138
33.0,0.125,0.16,0.153,0.136
34.0,0.125,0.16,0.156,0.136
35.0,0.125,0.162,0.156,0.135
36.0,0.122,0.162,0.162,0.134
37.0,0.121,0.167,0.162,0.134
38.0,0.121,0.168,0.162,0.132
39.0,0.119,0.168,0.164,0.13
40.0,0.118,0.169,0.165,0.13
,,,,
