Arcminute,North,East,South,West
0.0,0.5,0.5,0.5,0.5
1.0,0.5,0.5,0.483,0.491
2.0,0.506,0.495,0.465,0.49
3.0,0.516,0.482,0.465,0.49
4.0,0.516,0.482,0.448,0.479
5.0,0.519,0.485,0.434,0.467
6.0,0.514,0.467,0.434,0.467
7.0,0.514,0.458,0.415,0.464
8.0,0.514,0.451,0.406,0.459
9.0,0.501,0.445,0.406,0.459
10.0,0.501,0.445,0.39,0.459
11.0,0.494,0.449,0.384,0.453
12.0,0.487,0.437,0.384,0.453
13.0,0.487,0.437,0.376,0.454
14.0,0.468,0.441,0.37,0.455
15.0,0.464,0.437,0.37,0.455
16.0,0.464,0.437,0.365,0.451
17.0,0.445,0.431,0.363,0.444
18.0,0.442,0.433,0.363,0.444
19.0,0.442,0.433,0.362,0.432
20.0,0.442,0.429,0.357,0.427
21.0,0.436,0.431,0.357,0.427
22.0,0.436,0.431,0.355,0.426
23.0,0.434,0.433,0.344,0.433
24.0,0.429,0.434,0.344,0.433
25.0,0.429,0.434,0.33,0.439
26.0,0.423,0.436,0.325,0.455
27.0,0.421,0.422,0.325,0.455
28.0,0.421,0.422,0.311,0.469
29.0,0.416,0.427,0.299,0.485
30.0,0.417,0.412,0.299,0.485
31.0,0.417,0.396,0.291,0.496
32.0,0.422,0.404,0.285,0.501
33.0,0.43,0.4,0.285,0.501
34.0,0.43,0.4,0.284,0.513
35.0,0.435,0.41,0.282,0.523
36.0,0.439,0.404,0.282,0.523
37.0,0.439,0.404,0.279,0.529
38.0,0.452,0.409,0.273,0.518
39.0,0.465,0.414,0.273,0.518
40.0,0.465,0.414,0.272,0.52
,,,,
