Arcminute,North,East,South,West
0.0,0.057,0.057,0.057,0.057
1.0,0.057,0.056,0.056,0.057
2.0,0.057,0.056,0.056,0.057
3.0,0.059,0.055,0.056,0.06
4.0,0.059,0.053,0.055,0.064
5.0,0.06,0.053,0.055,0.064
6.0,0.061,0.052,0.055,0.067
7.0,0.061,0.051,0.055,0.068
8.0,0.062,0.051,0.055,0.068
9.0,0.062,0.051,0.056,0.071
10.0,0.062,0.051,0.056,0.072
11.0,0.062,0.052,0.058,0.072
12.0,0.061,0.052,0.059,0.071
13.0,0.061,0.053,0.059,0.07
14.0,0.063,0.054,0.062,0.07
15.0,0.062,0.054,0.064,0.07
16.0,0.062,0.054,0.064,0.07
17.0,0.062,0.054,0.065,0.07
18.0,0.062,0.054,0.065,0.07
19.0,0.062,0.054,0.065,0.071
20.0,0.062,0.055,0.065,0.071
21.0,0.06,0.055,0.065,0.07
22.0,0.06,0.056,0.065,0.067
23.0,0.06,0.056,0.065,0.067
24.0,0.06,0.056,0.066,0.066
25.0,0.06,0.056,0.066,0.064
26.0,0.062,0.057,0.067,0.064
27.0,0.064,0.057,0.068,0.064
28.0,0.064,0.057,0.068,0.064
29.0,0.067,0.057,0.068,0.064
30.0,0.067,0.057,0.067,0.066
31.0,0.067,0.058,0.067,0.067
32.0,0.067,0.059,0.065,0.067
33.0,0.067,0.059,0.063,0.069
34.0,0.067,0.059,0.063,0.07
35.0,0.067,0.059,0.061,0.07
36.0,0.064,0.059,0.059,0.072
37.0,0.064,0.059,0.059,0.072
38.0,0.063,0.058,0.057,0.072
39.0,0.062,0.058,0.056,0.072
40.0,0.062,0.058,0.056,0.07
,,,,
