Arcminute,North,East,South,West
0.0,0.544,0.544,0.544,0.544
1.0,0.544,0.542,0.543,0.544
2.0,0.544,0.537,0.542,0.546
3.0,0.545,0.537,0.542,0.547
4.0,0.545,0.534,0.538,0.547
5.0,0.549,0.513,0.53,0.549
6.0,0.555,0.513,0.53,0.553
7.0,0.555,0.491,0.519,0.553
8.0,0.571,0.477,0.513,0.565
9.0,0.582,0.477,0.513,0.595
10.0,0.582,0.465,0.506,0.595
11.0,0.592,0.462,0.507,0.605
12.0,0.608,0.462,0.507,0.605
13.0,0.608,0.464,0.505,0.605
14.0,0.621,0.466,0.498,0.615
15.0,0.621,0.466,0.498,0.642
16.0,0.635,0.472,0.491,0.642
17.0,0.653,0.475,0.495,0.655
18.0,0.653,0.475,0.495,0.668
19.0,0.658,0.482,0.488,0.668
20.0,0.661,0.482,0.483,0.668
21.0,0.661,0.48,0.483,0.67
22.0,0.667,0.48,0.475,0.67
23.0,0.669,0.48,0.474,0.677
24.0,0.669,0.47,0.474,0.678
25.0,0.67,0.465,0.473,0.678
26.0,0.664,0.465,0.476,0.68
27.0,0.664,0.444,0.476,0.679
28.0,0.656,0.426,0.478,0.679
29.0,0.651,0.426,0.478,0.668
30.0,0.651,0.425,0.481,0.655
31.0,0.626,0.415,0.486,0.655
32.0,0.61,0.415,0.486,0.65
33.0,0.61,0.413,0.486,0.634
34.0,0.597,0.408,0.486,0.634
35.0,0.582,0.411,0.499,0.63
36.0,0.582,0.41,0.502,0.63
37.0,0.564,0.408,0.504,0.611
38.0,0.552,0.408,0.504,0.61
39.0,0.553,0.405,0.51,0.611
40.0,0.541,0.403,0.51,0.605
,,,,
