Arcminute,North,East,South,West
0.0,0.07,0.07,0.07,0.07
1.0,0.07,0.07,0.071,0.071
2.0,0.07,0.07,0.071,0.071
3.0,0.07,0.07,0.071,0.072
4.0,0.07,0.071,0.071,0.073
5.0,0.07,0.071,0.071,0.073
6.0,0.07,0.071,0.072,0.073
7.0,0.067,0.07,0.071,0.073
8.0,0.067,0.07,0.071,0.073
9.0,0.066,0.07,0.071,0.073
10.0,0.062,0.069,0.071,0.07
11.0,0.062,0.069,0.071,0.07
12.0,0.061,0.069,0.07,0.068
13.0,0.059,0.069,0.07,0.064
14.0,0.059,0.069,0.07,0.064
15.0,0.059,0.069,0.07,0.063
16.0,0.06,0.071,0.071,0.061
17.0,0.06,0.071,0.071,0.061
18.0,0.06,0.071,0.071,0.06
19.0,0.06,0.072,0.072,0.059
20.0,0.06,0.071,0.072,0.059
21.0,0.06,0.071,0.072,0.06
22.0,0.06,0.07,0.073,0.06
23.0,0.06,0.069,0.073,0.06
24.0,0.061,0.069,0.074,0.061
25.0,0.063,0.069,0.074,0.061
26.0,0.067,0.069,0.074,0.061
27.0,0.067,0.069,0.074,0.063
28.0,0.069,0.069,0.074,0.063
29.0,0.071,0.071,0.074,0.063
30.0,0.071,0.071,0.074,0.064
31.0,0.071,0.072,0.074,0.065
32.0,0.071,0.073,0.074,0.065
33.0,0.071,0.073,0.074,0.066
34.0,0.07,0.074,0.074,0.067
35.0,0.069,0.076,0.074,0.067
36.0,0.069,0.076,0.074,0.069
37.0,0.068,0.075,0.073,0.069
38.0,0.068,0.076,0.073,0.07
39.0,0.068,0.076,0.072,0.07
40.0,0.068,0.077,0.072,0.069
,,,,
