Arcminute,North,East,South,West
0.0,0.049,0.049,0.049,0.049
1.0,0.05,0.048,0.048,0.049
2.0,0.05,0.048,0.048,0.051
3.0,0.052,0.048,0.046,0.056
4.0,0.054,0.047,0.043,0.056
5.0,0.054,0.046,0.043,0.058
6.0,0.054,0.046,0.04,0.066
7.0,0.053,0.045,0.039,0.066
8.0,0.053,0.04,0.039,0.066
9.0,0.047,0.04,0.039,0.06
10.0,0.04,0.037,0.038,0.06
11.0,0.036,0.034,0.038,0.057
12.0,0.036,0.034,0.036,0.047
13.0,0.035,0.032,0.034,0.047
14.0,0.033,0.029,0.034,0.042
15.0,0.033,0.029,0.031,0.034
16.0,0.032,0.028,0.027,0.034
17.0,0.032,0.028,0.027,0.033
18.0,0.032,0.028,0.027,0.031
19.0,0.03,0.029,0.026,0.031
20.0,0.03,0.029,0.026,0.029
21.0,0.03,0.029,0.027,0.028
22.0,0.03,0.029,0.027,0.028
23.0,0.03,0.029,0.027,0.028
24.0,0.03,0.029,0.029,0.028
25.0,0.031,0.029,0.03,0.028
26.0,0.032,0.03,0.03,0.028
27.0,0.032,0.03,0.03,0.029
28.0,0.031,0.032,0.029,0.029
29.0,0.031,0.032,0.029,0.03
30.0,0.031,0.032,0.029,0.032
31.0,0.031,0.032,0.029,0.032
32.0,0.03,0.031,0.029,0.033
33.0,0.03,0.03,0.03,0.033
34.0,0.03,0.03,0.029,0.033
35.0,0.031,0.03,0.029,0.034
36.0,0.031,0.03,0.029,0.034
37.0,0.032,0.03,0.028,0.034
38.0,0.033,0.029,0.028,0.034
39.0,0.033,0.029,0.027,0.033
40.0,0.033,0.029,0.027,0.033
,,,,
