Arcminute,North,East,South,West
0.0,0.041,0.041,0.041,0.041
1.0,0.041,0.041,0.039,0.04
2.0,0.042,0.04,0.038,0.039
3.0,0.044,0.041,0.038,0.039
4.0,0.044,0.041,0.037,0.04
5.0,0.044,0.04,0.038,0.04
6.0,0.045,0.039,0.038,0.04
7.0,0.045,0.039,0.039,0.039
8.0,0.045,0.038,0.039,0.038
9.0,0.045,0.036,0.039,0.038
10.0,0.045,0.036,0.04,0.038
11.0,0.044,0.036,0.04,0.037
12.0,0.043,0.038,0.04,0.037
13.0,0.043,0.038,0.041,0.037
14.0,0.041,0.038,0.042,0.037
15.0,0.04,0.041,0.042,0.037
16.0,0.04,0.041,0.043,0.038
17.0,0.039,0.039,0.044,0.039
18.0,0.038,0.039,0.044,0.039
19.0,0.038,0.039,0.042,0.04
20.0,0.038,0.038,0.04,0.041
21.0,0.038,0.037,0.04,0.041
22.0,0.038,0.037,0.038,0.042
23.0,0.038,0.037,0.035,0.043
24.0,0.039,0.039,0.035,0.043
25.0,0.039,0.039,0.034,0.044
26.0,0.04,0.04,0.034,0.047
27.0,0.043,0.043,0.034,0.047
28.0,0.043,0.043,0.034,0.05
29.0,0.043,0.044,0.036,0.05
30.0,0.042,0.044,0.036,0.05
31.0,0.042,0.044,0.037,0.051
32.0,0.042,0.042,0.039,0.051
33.0,0.04,0.041,0.039,0.051
34.0,0.04,0.041,0.04,0.048
35.0,0.038,0.039,0.04,0.047
36.0,0.037,0.038,0.04,0.047
37.0,0.037,0.038,0.039,0.043
38.0,0.036,0.038,0.04,0.042
39.0,0.035,0.038,0.04,0.042
40.0,0.035,0.038,0.042,0.041
,,,,
