Arcminute,North,East,South,West
0.0,0.037,0.037,0.037,0.037
1.0,0.037,0.037,0.037,0.037
2.0,0.038,0.038,0.037,0.037
3.0,0.037,0.038,0.037,0.037
4.0,0.036,0.038,0.037,0.036
5.0,0.035,0.038,0.036,0.035
6.0,0.035,0.039,0.036,0.035
7.0,0.032,0.039,0.036,0.034
8.0,0.031,0.039,0.035,0.034
9.0,0.031,0.039,0.035,0.034
10.0,0.029,0.039,0.035,0.036
11.0,0.029,0.039,0.037,0.036
12.0,0.029,0.037,0.037,0.036
13.0,0.029,0.037,0.037,0.036
14.0,0.031,0.036,0.037,0.035
15.0,0.03,0.036,0.038,0.035
16.0,0.031,0.037,0.038,0.034
17.0,0.032,0.036,0.041,0.034
18.0,0.032,0.036,0.043,0.034
19.0,0.032,0.036,0.043,0.033
20.0,0.032,0.035,0.045,0.032
21.0,0.032,0.035,0.045,0.032
22.0,0.033,0.035,0.045,0.031
23.0,0.034,0.033,0.044,0.031
24.0,0.034,0.031,0.043,0.031
25.0,0.035,0.031,0.043,0.031
26.0,0.036,0.03,0.039,0.03
27.0,0.036,0.028,0.037,0.03
28.0,0.036,0.029,0.037,0.031
29.0,0.036,0.027,0.035,0.031
30.0,0.036,0.027,0.034,0.031
31.0,0.036,0.027,0.034,0.031
32.0,0.036,0.028,0.033,0.03
33.0,0.036,0.029,0.034,0.03
34.0,0.036,0.029,0.034,0.029
35.0,0.036,0.03,0.034,0.029
36.0,0.036,0.03,0.035,0.029
37.0,0.036,0.03,0.035,0.03
38.0,0.037,0.03,0.035,0.032
39.0,0.037,0.03,0.036,0.032
40.0,0.037,0.031,0.036,0.034
,,,,
