Arcminute,North,East,South,West
0.0,0.052,0.052,0.052,0.052
1.0,0.052,0.052,0.052,0.053
2.0,0.052,0.051,0.052,0.053
3.0,0.052,0.051,0.051,0.053
4.0,0.052,0.051,0.051,0.053
5.0,0.052,0.051,0.051,0.053
6.0,0.052,0.05,0.051,0.053
7.0,0.052,0.05,0.051,0.053
8.0,0.052,0.05,0.051,0.053
9.0,0.051,0.05,0.05,0.053
10.0,0.051,0.049,0.049,0.052
11.0,0.051,0.049,0.049,0.052
12.0,0.05,0.049,0.049,0.052
13.0,0.049,0.049,0.048,0.051
14.0,0.049,0.048,0.048,0.05
15.0,0.048,0.047,0.048,0.05
16.0,0.047,0.047,0.048,0.048
17.0,0.047,0.047,0.048,0.048
18.0,0.045,0.046,0.048,0.048
19.0,0.044,0.046,0.047,0.047
20.0,0.044,0.045,0.047,0.046
21.0,0.043,0.045,0.047,0.046
22.0,0.04,0.045,0.047,0.045
23.0,0.04,0.044,0.047,0.045
24.0,0.039,0.044,0.047,0.045
25.0,0.038,0.044,0.047,0.044
26.0,0.038,0.044,0.047,0.044
27.0,0.037,0.043,0.046,0.044
28.0,0.037,0.043,0.046,0.043
29.0,0.037,0.043,0.046,0.043
30.0,0.036,0.043,0.045,0.043
31.0,0.036,0.043,0.044,0.042
32.0,0.036,0.042,0.044,0.042
33.0,0.036,0.042,0.043,0.042
34.0,0.036,0.041,0.042,0.042
35.0,0.036,0.041,0.042,0.041
36.0,0.036,0.041,0.041,0.041
37.0,0.035,0.041,0.041,0.041
38.0,0.035,0.041,0.041,0.041
39.0,0.035,0.04,0.04,0.041
40.0,0.035,0.04,0.04,0.041
,,,,
