Arcminute,North,East,South,West
0.0,0.178,0.178,0.178,0.178
1.0,0.178,0.177,0.184,0.178
2.0,0.177,0.176,0.194,0.18
3.0,0.176,0.176,0.194,0.185
4.0,0.176,0.176,0.199,0.185
5.0,0.174,0.175,0.201,0.187
6.0,0.172,0.175,0.201,0.191
7.0,0.172,0.171,0.185,0.191
8.0,0.166,0.156,0.161,0.183
9.0,0.162,0.156,0.161,0.173
10.0,0.162,0.144,0.153,0.173
11.0,0.143,0.134,0.137,0.145
12.0,0.131,0.134,0.137,0.14
13.0,0.131,0.121,0.126,0.14
14.0,0.125,0.118,0.119,0.133
15.0,0.122,0.118,0.119,0.13
16.0,0.122,0.113,0.119,0.13
17.0,0.119,0.113,0.118,0.128
18.0,0.119,0.113,0.118,0.128
19.0,0.119,0.113,0.116,0.128
20.0,0.12,0.114,0.115,0.129
21.0,0.121,0.114,0.115,0.13
22.0,0.121,0.114,0.116,0.13
23.0,0.122,0.115,0.118,0.132
24.0,0.124,0.115,0.118,0.135
25.0,0.124,0.115,0.12,0.135
26.0,0.124,0.116,0.122,0.135
27.0,0.124,0.116,0.122,0.138
28.0,0.124,0.118,0.122,0.14
29.0,0.126,0.119,0.123,0.14
30.0,0.129,0.119,0.123,0.141
31.0,0.129,0.122,0.123,0.144
32.0,0.13,0.124,0.124,0.144
33.0,0.131,0.124,0.124,0.145
34.0,0.131,0.127,0.125,0.147
35.0,0.137,0.129,0.125,0.147
36.0,0.14,0.129,0.125,0.148
37.0,0.14,0.131,0.125,0.148
38.0,0.142,0.132,0.126,0.148
39.0,0.144,0.132,0.126,0.152
40.0,0.144,0.133,0.127,0.153
,,,,
