Arcminute,North,East,South,West
0.0,0.048,0.048,0.048,0.048
1.0,0.048,0.048,0.048,0.048
2.0,0.048,0.049,0.048,0.048
3.0,0.049,0.049,0.048,0.048
4.0,0.049,0.049,0.048,0.048
5.0,0.049,0.049,0.048,0.048
6.0,0.049,0.049,0.048,0.048
7.0,0.049,0.049,0.048,0.047
8.0,0.049,0.049,0.048,0.047
9.0,0.049,0.048,0.049,0.047
10.0,0.049,0.048,0.049,0.047
11.0,0.049,0.047,0.049,0.047
12.0,0.049,0.046,0.049,0.047
13.0,0.048,0.046,0.049,0.048
14.0,0.048,0.043,0.049,0.049
15.0,0.047,0.042,0.049,0.049
16.0,0.045,0.042,0.048,0.05
17.0,0.045,0.044,0.048,0.051
18.0,0.044,0.046,0.048,0.051
19.0,0.044,0.046,0.047,0.052
20.0,0.044,0.047,0.047,0.053
21.0,0.045,0.048,0.046,0.053
22.0,0.045,0.048,0.045,0.053
23.0,0.045,0.05,0.045,0.053
24.0,0.047,0.05,0.044,0.053
25.0,0.047,0.05,0.044,0.054
26.0,0.047,0.051,0.044,0.052
27.0,0.048,0.052,0.043,0.052
28.0,0.048,0.052,0.042,0.052
29.0,0.048,0.051,0.042,0.051
30.0,0.049,0.051,0.041,0.051
31.0,0.051,0.051,0.041,0.051
32.0,0.051,0.05,0.041,0.051
33.0,0.054,0.05,0.041,0.051
34.0,0.055,0.05,0.042,0.051
35.0,0.055,0.049,0.042,0.05
36.0,0.057,0.047,0.04,0.05
37.0,0.056,0.047,0.04,0.048
38.0,0.056,0.046,0.04,0.046
39.0,0.054,0.047,0.039,0.046
40.0,0.051,0.047,0.037,0.044
,,,,
